eventID,occurrenceID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
110000153:110000153,,distance bins,,0|50|100|200|300,,,
110000153:110000153,,platform class,http://vocab.ices.dk/?ref=311,30: Ship,30,,
110000153:110000153,,platform code,http://vocab.nerc.ac.uk/collection/C17/current/,BELGICA,http://vocab.nerc.ac.uk/collection/C17/current/11BE,,
110000153:110000153,,primary sampling,,TRUE,,,
110000153:110000153,,sampling method,http://vocab.ices.dk/?ref=1440,Full ship-based transect method with snapshot for flying birds,1,,
110000153:110000153,,target taxa,http://vocab.ices.dk/?ref=1713,All species recorded (standard),1,,
110000153:110000153,,transect width,,300,,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA
110000153:110000153,,use of binoculars,http://vocab.ices.dk/?ref=1719,"Binoculars used extensively for scanning ahead and to the side, naked eye used for close observations (e.g. for cetacean monitoring)",3,,
110000153:110000153:110004708,,area,,0.21,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004708,,distance,,0.7,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004709,,area,,0.642,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004709,,distance,,2.14,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004710,,area,,1.224,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004710,,distance,,4.08,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004711,,area,,0.612,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004711,,distance,,2.04,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004712,,area,,0.39,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004712,,distance,,1.3,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004713,,area,,0.951,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004713,,distance,,3.17,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004714,,area,,0.57,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004714,,distance,,1.9,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004715,,area,,1.044,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004715,,distance,,3.48,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004716,,area,,1.176,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004716,,distance,,3.92,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004717,,area,,1.176,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004717,,distance,,3.92,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004718,,area,,0.825,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004718,,distance,,2.75,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004719,,area,,1.095,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004719,,distance,,3.65,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004720,,area,,1.095,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004720,,distance,,3.65,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004721,,area,,1.176,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004721,,distance,,3.92,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004722,,area,,0.117,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004722,,distance,,0.39,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004723,,area,,0.825,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004723,,distance,,2.75,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004724,,area,,1.071,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004724,,distance,,3.57,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004725,,area,,1.071,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004725,,distance,,3.57,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004726,,area,,1.071,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004726,,distance,,3.57,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004727,,area,,1.071,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004727,,distance,,3.57,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004728,,area,,0.858,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004728,,distance,,2.86,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004729,,area,,0.642,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004729,,distance,,2.14,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004730,,area,,0.75,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004730,,distance,,2.5,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004731,,area,,1.101,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004731,,distance,,3.67,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004732,,area,,0.771,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
110000153:110000153:110004732,,distance,,2.57,,km,http://vocab.nerc.ac.uk/collection/P06/current/ULKM
110000153:110000153:110004733,,area,,0.429,,km2,http://vocab.nerc.ac.uk/collection/P06/current/SQKM
