institutionCode,collectionCode,datasetID,datasetName,license,rightsHolder,type,eventID,parentEventID,eventDate,eventRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),cruise,110000153,,1996-02-28/1996-02-28,,,,,
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),sample,110000153_110000153,110000153,1996-02-28,Platform: Belgica,,,,
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004708,110000153_110000153,1996-02-28T07:05:00Z,,51.1367,2.5267,EPSG:4326,887
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004709,110000153_110000153,1996-02-28T07:09:00Z,,51.1467,2.5333,EPSG:4326,2327
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004710,110000153_110000153,1996-02-28T07:15:00Z,,51.155,2.5733,EPSG:4326,4267
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004711,110000153_110000153,1996-02-28T07:25:00Z,,51.1533,2.615,EPSG:4326,2227
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004712,110000153_110000153,1996-02-28T07:30:00Z,,51.155,2.635,EPSG:4326,1487
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004713,110000153_110000153,1996-02-28T07:34:00Z,,51.165,2.625,EPSG:4326,3357
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004714,110000153_110000153,1996-02-28T07:44:00Z,,51.18,2.595,EPSG:4326,2087
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004715,110000153_110000153,1996-02-28T07:50:00Z,,51.1967,2.6,EPSG:4326,3667
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004716,110000153_110000153,1996-02-28T08:00:00Z,,51.21,2.6467,EPSG:4326,4107
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004717,110000153_110000153,1996-02-28T08:10:00Z,,51.2167,2.7017,EPSG:4326,4107
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004718,110000153_110000153,1996-02-28T08:20:00Z,,51.2217,2.7467,EPSG:4326,2937
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004719,110000153_110000153,1996-02-28T08:27:00Z,,51.2283,2.7883,EPSG:4326,3837
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004720,110000153_110000153,1996-02-28T08:37:00Z,,51.2383,2.8383,EPSG:4326,3837
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004721,110000153_110000153,1996-02-28T08:47:00Z,,51.2433,2.8733,EPSG:4326,4107
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004722,110000153_110000153,1996-02-28T08:50:00Z,,51.2417,2.8867,EPSG:4326,577
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004723,110000153_110000153,1996-02-28T08:51:00Z,,51.2333,2.8833,EPSG:4326,2937
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004724,110000153_110000153,1996-02-28T08:58:00Z,,51.2183,2.8533,EPSG:4326,3757
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004725,110000153_110000153,1996-02-28T09:08:00Z,,51.2033,2.8083,EPSG:4326,3757
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004726,110000153_110000153,1996-02-28T09:18:00Z,,51.1883,2.7633,EPSG:4326,3757
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004727,110000153_110000153,1996-02-28T09:28:00Z,,51.1733,2.7167,EPSG:4326,3757
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004728,110000153_110000153,1996-02-28T09:38:00Z,,51.1617,2.6767,EPSG:4326,3047
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004729,110000153_110000153,1996-02-28T09:46:00Z,,51.15,2.6417,EPSG:4326,2327
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004730,110000153_110000153,1996-02-28T09:52:00Z,,51.15,2.6233,EPSG:4326,2687
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004731,110000153_110000153,1996-02-28T09:59:00Z,,51.165,2.6433,EPSG:4326,3857
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004732,110000153_110000153,1996-02-28T10:09:00Z,,51.1833,2.6817,EPSG:4326,2757
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004733,110000153_110000153,1996-02-28T10:16:00Z,,51.1933,2.7067,EPSG:4326,1617
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004734,110000153_110000153,1996-02-28T11:03:00Z,,51.2,2.765,EPSG:4326,3317
ICES,ESAS,https://esas.ices.dk,European Seabirds At Sea (ESAS),https://creativecommons.org/licenses/by/4.0/,Research Institute for Nature and Forest (INBO),subSample,110000153_110000153_110004735,110000153_110000153,1996-02-28T11:13:00Z,,51.205,2.8,EPSG:4326,2067
