eventID,basisOfRecord,occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,associatedTaxa,occurrenceRemarks,scientificNameID,scientificName,kingdom
110000153:110000153:110004708,HumanObservation,110000153:110000153:110004708:1100031820,1,,immature,,present,,,urn:lsid:marinespecies.org:taxname:137138,Larus argentatus,Animalia
110000153:110000153:110004708,HumanObservation,110000153:110000153:110004708:1100031821,2,,adult,,present,,,urn:lsid:marinespecies.org:taxname:137138,Larus argentatus,Animalia
110000153:110000153:110004708,HumanObservation,110000153:110000153:110004708:1100031822,1,,immature,,present,,,urn:lsid:marinespecies.org:taxname:137138,Larus argentatus,Animalia
110000153:110000153:110004708,HumanObservation,110000153:110000153:110004708:1100031823,1,,immature,,present,,,urn:lsid:marinespecies.org:taxname:137138,Larus argentatus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031824,2,female,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031825,5,male,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031826,1,,,,present,,,urn:lsid:marinespecies.org:taxname:137133,Uria aalge,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031827,1,,immature,,present,,,urn:lsid:marinespecies.org:taxname:137146,Larus marinus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031828,1,,adult,,present,,,urn:lsid:marinespecies.org:taxname:137141,Larus canus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031829,1,,,,present,,,urn:lsid:marinespecies.org:taxname:137182,Podiceps cristatus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031830,1,,adult,,present,,,urn:lsid:marinespecies.org:taxname:137138,Larus argentatus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031831,1,,adult,,present,,,urn:lsid:marinespecies.org:taxname:137141,Larus canus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031832,1,,immature,,present,,,urn:lsid:marinespecies.org:taxname:137138,Larus argentatus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031833,1,,adult,,present,,,urn:lsid:marinespecies.org:taxname:137141,Larus canus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031834,1,,adult,,present,,,urn:lsid:marinespecies.org:taxname:148776,Morus bassanus,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031835,8,,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004709,HumanObservation,110000153:110000153:110004709:1100031836,1,,adult,,present,,,urn:lsid:marinespecies.org:taxname:137141,Larus canus,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031837,1,male,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031838,1,female,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031839,1,,,,present,,,urn:lsid:marinespecies.org:taxname:137188,Gavia stellata,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031840,4,,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031841,2,,,,present,,,urn:lsid:marinespecies.org:taxname:232042,Tadorna tadorna,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031842,13,,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031843,1,,adult,,present,,7.1600000000,urn:lsid:marinespecies.org:taxname:137188,Gavia stellata,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031844,11,,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031845,1,female,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
110000153:110000153:110004710,HumanObservation,110000153:110000153:110004710:1100031846,3,,,,present,,,urn:lsid:marinespecies.org:taxname:137073,Melanitta nigra,Animalia
