Key,Description,LongDescription,Modified,Deprecated
0,Unknown,,2021-10-20T09:44:56.227,false
100,Carousel feeding (orca),,2022-01-10T16:46:10.103,false
101,Pod splitting,,2022-01-10T16:46:10.11,false
102,Pod formation,,2022-01-10T16:46:10.117,false
103,Source avoiding behaviour,,2022-01-10T16:46:10.123,false
111,Not foraging,,2022-01-10T16:46:10.13,false
112,Diving (no specification),,2022-01-10T16:46:10.137,false
113,Active migration,,2022-01-10T16:46:10.15,false
114,Flying off (no specification),,2022-01-10T16:46:10.157,false
115,On water/swimming,,2022-01-24T10:29:20.48,false
116,Distraction behaviour,,2022-01-10T16:46:10.16,false
117,Flying (no specification),,2022-01-24T10:30:12.087,false
118,Submerged,,2022-01-24T10:31:56.067,false
119,Surfacing,,2022-01-24T10:32:22.09,false
120,"On artificial piece of something (platform, pole)",,2022-01-24T10:33:07.507,false
121,Milling/Non-directional behaviour,,2022-01-10T16:46:10.167,false
122,Diving (marine mammals),,2022-01-10T16:46:10.173,false
123,Head out of water (seals),,2022-01-10T16:46:10.18,false
124,Not recorded,,2021-10-20T10:09:18.707,false
127,Travelling,,2021-10-20T10:13:28.51,false
128,Feeding/foraging,,2021-11-23T11:29:18.95,false
129,Cooperative foraging,,2021-10-20T10:14:36.963,false
130,Logging/resting,,2021-10-20T10:16:05.857,false
131,Vessel avoidance,,2021-10-20T10:15:56.043,false
132,Bowriding,,2021-10-20T10:16:54.733,false
135,Flushing,,2021-10-20T10:19:41.907,false
30,Holding or carrying fish,"Carrying fish towards colony (e.g. terns, auks)",2022-01-17T09:20:37.433,false
31,Without fish,"Colony flights, not carrying prey (e.g. terns, auks) used in combination with #30",2022-01-17T09:21:44.71,false
32,Feeding young at sea,Code for adult birds presenting prey to attended chicks (e.g. auks) or juveniles (e.g. terns),2022-01-17T09:22:57.857,false
33,"Feeding, method unspecified",,2022-01-10T16:46:09.68,false
34,"Wading, filtering or probing",For shallow areas such as the Wadden Sea where foraging waders may occur even within transect,2022-01-17T09:24:39.85,false
35,Scooping prey from surface,"Swimming birds, scooping up small prey from just below the surface, common in pelicans and Northern Gannets",2022-01-17T09:25:08.423,false
