Key,Description,LongDescription,Modified,Deprecated
0600,SANTA GIULIETTA,,2020-02-06T08:31:33.043,false
0602,HANJIN OTTAWA,,2019-01-02T10:56:37.78,false
0608,MSC BENEDETTA,,2019-06-21T11:22:56.637,false
060Q,CHICAGO EXPRESS,,2019-08-21T12:59:26.033,false
060V,BUXCONTACT,,2019-01-05T14:12:26.683,false
0611,BERLIN,,2016-01-29T12:33:53.537,false
0612,NATIONAL,,2009-11-23T17:13:31.413,false
0613,SCHWABENLAND,,2009-12-08T14:11:46.06,false
0614,ANNE MARIE,,2013-08-15T16:25:20.33,false
061A,SEAPAC BUNKER HILL,,2018-06-11T18:50:16.44,false
061B,SEAPAC LEXINGTON,,2006-12-21T14:39:22.83,false
061C,SEAPAC PRINCETON,,2006-12-21T14:39:22.83,false
061D,SEAPAC CONCORD,,2006-12-21T14:39:22.83,false
061E,SEAPAC VALLEY FORGE,,2006-12-21T14:39:22.83,false
061F,CAP SAN MARCO,,2006-12-21T14:39:22.83,false
061G,ANNIEMARIE,,2012-02-28T14:52:15.373,false
061H,CAP SAN AUGUSTIN,,2006-12-21T14:39:22.83,false
061I,SUNNA HAV,,2006-12-21T14:39:22.83,false
061J,SCHLESWIG HOLSTEIN,,2006-12-21T14:39:22.83,false
061K,BAYERN,,2006-12-21T14:39:22.83,false
061L,HESSEN,,2006-12-21T14:39:22.83,false
061M,LUETJENS,,2006-12-21T14:39:22.83,false
061N,MOELDERS,,2006-12-21T14:39:22.83,false
061O,HANJIN COPENHAGEN,,2018-12-30T14:52:42.803,false
061P,ROMMEL,,2006-12-21T14:39:22.83,false
061Q,KOELN,,2006-12-21T14:39:22.83,false
061R,EMDEN,,2006-12-21T14:39:22.83,false
061S,AUGSBURG,,2006-12-21T14:39:22.83,false
061T,KARLSRUHE,,2006-12-21T14:39:22.83,false
061U,LUEBECK,,2006-12-21T14:39:22.83,false
061V,BRAUNSCHWEIG,,2006-12-21T14:39:22.83,false
061W,BREMEN,,2006-12-21T14:39:22.83,false
061X,NIEDERSACHSEN,,2006-12-21T14:39:22.83,false
061Y,GEORGE FOCH,,2006-12-21T14:39:22.83,false
061Z,SCHLESWIG,,2006-12-21T14:39:22.83,false
0621,ROUTE: HAMBURG - HULL,,2009-12-11T15:02:40.143,false
0624,MSC LIVORNO,,2019-01-24T08:16:20.06,false
0627,KYOTO EXPRESS,,2016-08-25T17:19:28.997,false
0628,VIENNA EXPRESS,,2017-06-13T11:48:23.99,false
062A,PADERBORN,,2006-12-21T14:39:22.83,false
062B,DUERN,,2006-12-21T14:39:22.83,false
062C,KONSTANZ,,2006-12-21T14:39:22.83,false
062D,WOLFSBURG,,2006-12-21T14:39:22.83,false
062E,ULM,,2006-12-21T14:39:22.83,false
062F,FULDA,,2006-12-21T14:39:22.83,false
062G,LINDAU,,2006-12-21T14:39:22.83,false
062H,TUEBINGEN,,2006-12-21T14:39:22.83,false
062I,MINDEN,,2006-12-21T14:39:22.83,false
062J,KOBLENZ,,2006-12-21T14:39:22.83,false
062K,WETZLAR,,2006-12-21T14:39:22.83,false
062L,WEILHEIM,,2006-12-21T14:39:22.83,false
062M,VOELKLINGEN,,2006-12-21T14:39:22.83,false
062N,CUXHAVEN,,2006-12-21T14:39:22.83,false
062P,MARBURG,,2006-12-21T14:39:22.83,false
062Q,NAJADE,,2006-12-21T14:39:22.83,false
062R,DONAU,,2006-12-21T14:39:22.83,false
062S,LAHN,,2006-12-21T14:39:22.83,false
062T,WERRA,,2006-12-21T14:39:22.83,false
062U,FEHMARN,,2006-12-21T14:39:22.83,false
062V,EISBAER,,2006-12-21T14:39:22.83,false
062W,SPIEKEROOG,,2006-12-21T14:39:22.83,false
062X,WALTHER VON LEDEBUR,,2006-12-21T14:39:22.83,false
062Y,RECTEUR DUBUISSON,,2006-12-21T14:39:22.83,false
062Z,THETIS,,2006-12-21T14:39:22.83,false
063A,HERMES,,2006-12-21T14:39:22.83,false
063B,PORT HARCOURT,,2006-12-21T14:39:22.83,false
063C,CARIBIA EXPRESS,,2006-12-21T14:39:22.83,false
063D,SIERRA EXPRESS,,2006-12-21T14:39:22.83,false
063E,COLUMBUS,,2006-12-21T14:39:22.83,false
063F,EUROPA,,2006-12-21T14:39:22.83,false
063G,FORELLE,,2006-12-21T14:39:22.83,false
063H,GEESTE,,2006-12-21T14:39:22.83,false
063I,BARBARA,,2019-02-04T19:54:59.07,false
063J,HECHT,,2006-12-21T14:39:22.83,false
063K,ISLAND,,2006-12-21T14:39:22.83,false
063L,RESERVE-HOENAU,,2006-12-21T14:39:22.83,false
063M,SASSNITZ-TRELLEBORG,,2006-12-21T14:39:22.83,false
063N,SCHELLFISCH,,2006-12-21T14:39:22.83,false
063P,SDFALL,,2006-12-21T14:39:22.83,false
063Q,TEREDO VERSUCHSSTAND,,2006-12-21T14:39:22.83,false
063R,THUNFISCH,,2006-12-21T14:39:22.83,false
063S,RIO BLANCO,,2015-03-17T17:22:51.58,false
063W,MSC LA SPEZIA,,2018-01-27T09:15:31.1,false
063Z,BANGKOK EXPRESS,,2018-04-13T10:57:17.183,false
0641,P&O Nedlloyd Santiago,,2017-06-13T12:57:11.733,false
0647,HANJIN BASEL,,2018-02-19T14:10:12.673,false
064H,SG127,,2019-02-04T19:53:13.95,false
064Q,MetOp-A,,2018-08-09T10:02:07.893,false
064S,ODIN,,2019-02-02T09:27:28.347,false
0655,ROTTERDAM EXPRESS,,2018-03-04T18:06:07.873,false
065F,CMA CGM VELA,,2018-12-03T12:31:41.46,false
065I,HANJIN BOSTON,,2018-01-17T10:52:46.507,false
065L,BUDAPEST EXPRESS,,2018-03-03T10:13:43.633,false
065U,BREMEN EXPRESS,,2018-03-03T10:13:44.577,false
065X,NORTHERN MAGNUM,,2019-08-28T07:30:27.07,false
066B,IFM13,,2019-02-04T19:45:51.667,false
066E,OSTFRIESLAND,,2016-09-20T12:10:29.477,false
066G,NORTHERN JULIE,,2019-02-15T11:16:03.31,false
066L,IFM04,,2021-02-23T20:09:28.013,false
066P,COMET,,2019-05-01T08:37:23.16,false
066T,MSC TORONTO,,2016-09-13T12:23:29.01,false
066V,MONTE VERDE,,2019-07-12T13:28:17.85,false
066X,DALIAN EXPRESS,,2016-02-24T11:57:48.683,false
066Y,LUDWIGSHAFEN EXPRESS,,2016-09-05T18:47:33.957,false
0673,DUESSELDORF EXPRESS,,2019-09-23T14:49:12.697,false
0677,RIO NEGRO,,2018-03-05T10:59:30.393,false
0679,PRAGUE EXPRESS,,2016-11-04T11:10:21.73,false
067A,MAERSK DAMASCUS,,2009-09-10T11:29:05.623,false
067B,MAERSK DENTON,,2009-09-04T14:55:29.99,false
067E,GROSSHERZOGIN ELISABETH,,2019-07-29T09:08:52.203,false
067F,FIXED PLATFORMS,,2018-02-04T13:14:08.713,true
067I,ATAIR,,2022-01-19T11:08:19.7,false
067O,WESTWOOD PACIFIC,,2017-06-13T12:57:36.477,false
067P,EVER CHARMING,,2018-12-13T12:34:10.23,false
067Z,Hydrograf,,2019-02-04T19:50:47.84,false
0680,FRITHJOF,,2019-02-22T18:19:10.917,false
0681,LT CORTESIA,,2016-09-05T18:43:10.217,false
0682,HANSA VICTORY,,2019-07-24T11:11:26.033,false
